"OUTCOME","outcome","n"
"none","None",351
"explore","Explore",196
"exploit_pink","Exploit",119
"NONE","None",104
"exploit_yellow","Exploit",88
"Exploit","Exploit",83
"Explore","Explore",76
"exploit_green","Exploit",72
"explore_sweet","Explore",68
"exploit","Exploit",54
"explore_sour","Explore",54
"explore_bitter","Explore",42
"exploit_red","Exploit",35
"exploit_blue","Exploit",30
"explore_salty","Explore",19
"explore_umami","Explore",13
"stop","None",9
"checks_umami","None",8
"Exploit_pink","Exploit",5
"explore_pink","Explore",5
"explore_yellow","Explore",4
"Explore_bitter","Explore",3
"Explore_sweet","Explore",3
"Exploit_yellow","Exploit",2
"Explore_sour","Explore",2
"Explore_umami","Explore",2
"check_umami","None",2
"checks_pink","None",2
"checks_red","None",2
"checks_salty","None",2
"exploit_bitter","Exploit",2
"explore_red","Explore",2
"finds_pink","None",2
"Exploit_green","Exploit",1
"Exploit_red","Exploit",1
"Explore_salty","Explore",1
"check_red","None",1
"checks_green","None",1
"checks_lemon","None",1
"checks_yellow","None",1
"exploit_umami","Exploit",1
"exploit_yelow","Exploit",1
"explore/stop","Explore",1
"explore_","Explore",1
"explore_green","Explore",1
"explore_white","Explore",1
"finds_yellow","None",1
"non","None",1
"nonne","None",1
