"outcome","term","estimate","se","ci_lower","ci_upper","term_clean","monkey","initial","sex","sex_initial"
"Explore","monkey_idCHOCOLAT",-0.0566909836741108,0.136258089855927,-0.323756839791728,0.210374872443506,"CHOCOLAT","CHOCOLAT","C","Female","Female
(C)"
"Explore","monkey_idDALI",-0.083448177990458,0.178687776484773,-0.433676219900612,0.266779863919696,"DALI","DALI","D","Male","Male
(D)"
"Explore","monkey_idEBI",-0.436355178523166,0.259838433247348,-0.945638507687967,0.0729281506416356,"EBI","EBI","E","Male","Male
(E)"
"Explore","monkey_idFRAN",0.370929349958666,0.137403899104296,0.101617707714247,0.640240992203086,"FRAN","FRAN","F","Male","Male
(F)"
"Explore","monkey_idICE",-0.354096384788759,0.15734205476319,-0.662486812124612,-0.045705957452906,"ICE","ICE","I","Female","Female
(I)"
"None","monkey_idCHOCOLAT",1.31484108968664,0.176522281664589,0.968857417624049,1.66082476174924,"CHOCOLAT","CHOCOLAT","C","Female","Female
(C)"
"None","monkey_idDALI",-1.30949260525444,0.223681558002193,-1.74790845893874,-0.871076751570141,"DALI","DALI","D","Male","Male
(D)"
"None","monkey_idEBI",-2.08526020783645,0.250352618979578,-2.57595134103642,-1.59456907463648,"EBI","EBI","E","Male","Male
(E)"
"None","monkey_idFRAN",-1.53347522020613,0.26431769788545,-2.05153790806161,-1.01541253235065,"FRAN","FRAN","F","Male","Male
(F)"
"None","monkey_idICE",-0.429147009706177,0.165985106016593,-0.754477817498698,-0.103816201913655,"ICE","ICE","I","Female","Female
(I)"
"Explore","monkey_idANEMONE",0,0,0,0,"ANEMONE","ANEMONE","A","Female","Female
(A)"
"None","monkey_idANEMONE",0,0,0,0,"ANEMONE","ANEMONE","A","Female","Female
(A)"
