"monkey_id","outcome","n","total","proportion"
"ANEMONE","Exploit",50,285,0.175438596491228
"ANEMONE","Explore",59,285,0.207017543859649
"ANEMONE","None",176,285,0.617543859649123
"CHOCOLAT","Exploit",77,285,0.270175438596491
"CHOCOLAT","Explore",88,285,0.308771929824561
"CHOCOLAT","None",120,285,0.421052631578947
"DALI","Exploit",81,191,0.424083769633508
"DALI","Explore",77,191,0.403141361256544
"DALI","None",33,191,0.172774869109948
"EBI","Exploit",98,217,0.451612903225806
"EBI","Explore",66,217,0.304147465437788
"EBI","None",53,217,0.244239631336406
"FRAN","Exploit",71,182,0.39010989010989
"FRAN","Explore",103,182,0.565934065934066
"FRAN","None",8,182,0.043956043956044
"ICE","Exploit",117,314,0.372611464968153
"ICE","Explore",99,314,0.315286624203822
"ICE","None",98,314,0.312101910828025
