"Variable","Coefficient","P_value","Significant","Comparison"
"y10_conditionduo",3.60545457355912,0,TRUE,"Explore_vs_None"
"y10_conditiontrio",-3.19979721685814,0,TRUE,"Explore_vs_None"
"y02_partner_groupPARTNERED",0.405657356699455,3.60274300381658e-05,TRUE,"Explore_vs_None"
"y03_rel_rank",-5.37812006041209,0,TRUE,"Explore_vs_None"
"y04_chosen_value",88.4716327238157,0,TRUE,"Explore_vs_None"
"y05_exploit_value",0.220573872161502,1.69741081401664e-05,TRUE,"Explore_vs_None"
"y06_explore_expect",-0.120497245576335,0.00990184142658124,TRUE,"Explore_vs_None"
"sex_groupMale",9.48372938408942,0,TRUE,"Explore_vs_None"
"hierarchy_groupIntermediate",-4.53324205687487,0,TRUE,"Explore_vs_None"
"hierarchy_groupDominant",-0.907630222250724,5.69072387213154e-07,TRUE,"Explore_vs_None"
"y10_conditionduo",3.69250812241731,0,TRUE,"Exploit_vs_None"
"y10_conditiontrio",-2.89817562086149,0,TRUE,"Exploit_vs_None"
"y02_partner_groupPARTNERED",0.794332501551247,6.66133814775094e-16,TRUE,"Exploit_vs_None"
"y03_rel_rank",-5.48023573847921,0,TRUE,"Exploit_vs_None"
"y04_chosen_value",91.2330815877062,0,TRUE,"Exploit_vs_None"
"y05_exploit_value",0.0766382572451821,0.135042274321076,FALSE,"Exploit_vs_None"
"y06_explore_expect",-0.367363391478185,3.77475828372553e-15,TRUE,"Exploit_vs_None"
"sex_groupMale",9.89080930315601,0,TRUE,"Exploit_vs_None"
"hierarchy_groupIntermediate",-5.07986398646173,0,TRUE,"Exploit_vs_None"
"hierarchy_groupDominant",-1.87160434400352,0,TRUE,"Exploit_vs_None"
