"social_context","y06_expected_explore","exploit","explore","none"
"solo",0.2,0.311129526704518,0.688870473295481,2.72745755837593e-85
"solo",0.4,0.250198937671075,0.749801062328925,1.00129439257021e-84
"solo",0.6,0.197774985591914,0.802225014408086,3.61332673074011e-84
"solo",0.8,0.154078180386094,0.845921819613906,1.28509893292035e-83
"duo",0.2,0.430411705871173,0.569588294128827,1.55003535238297e-93
"duo",0.4,0.358270354442691,0.641729645557309,5.89017166539565e-93
"duo",0.6,0.292021387843325,0.707978612156675,2.19175138243742e-92
"duo",0.8,0.233564109571462,0.766435890428538,8.00280594862931e-92
"trio",0.2,0.462009328115002,0.537990671884998,7.04329948308019e-89
"trio",0.4,0.388181238327053,0.611818761672947,2.70159038354445e-88
"trio",0.6,0.319152049053949,0.680847950946051,1.01400978848705e-87
"trio",0.8,0.257237035108818,0.742762964891182,3.73110572368975e-87
